Sample,Precipitation,pH,C,N,S,TP,WP
S1,205,6.1,26,1.9,0.8,461.9,4.5
S2,205,6.1,26,1.9,0.8,461.9,4.5
S3,205,6.1,26,1.9,0.8,461.9,4.5
S4,205,6.8,331.6,9.6,4.9,395,4.4
S5,205,6.8,331.6,9.6,4.9,395,4.4
S6,205,6.8,331.6,9.6,4.9,395,4.4
S10,471,6.3,17,1.4,0.5,169.1,5.5
S11,471,6.3,17,1.4,0.5,169.1,5.5
S12,471,6.3,17,1.4,0.5,169.1,5.5
S13,205,5.5,296.2,12.1,6.4,515.9,108.1
S14,205,5.5,296.2,12.1,6.4,515.9,108.1
S15,205,5.5,296.2,12.1,6.4,515.9,108.1
S22,205,6.1,26,1.9,0.8,461.9,4.5
S23,205,6.1,26,1.9,0.8,461.9,4.5
S24,205,6.1,26,1.9,0.8,461.9,4.5
S25,205,6.8,331.6,9.6,4.9,395,4.4
S26,205,6.8,331.6,9.6,4.9,395,4.4
S27,205,6.8,331.6,9.6,4.9,395,4.4
S31,471,6.3,17,1.4,0.5,169.1,5.5
S32,471,6.3,17,1.4,0.5,169.1,5.5
S33,471,6.3,17,1.4,0.5,169.1,5.5
S34,205,5.5,296.2,12.1,6.4,515.9,108.1
S35,205,5.5,296.2,12.1,6.4,515.9,108.1
S36,205,5.5,296.2,12.1,6.4,515.9,108.1